sender,receiver,subject,session,condition,moralCondition,condition2,neighbor
Participant H,Participant I,67,wyk984vb,gunsR,neutral,gunsR_neutral,n3
Participant E,Participant F,68,wyk984vb,gunsR,neutral,gunsR_neutral,n3
Participant J,Participant K,69,wyk984vb,gunsR,neutral,gunsR_neutral,n3
Participant F,Participant G,70,wyk984vb,gunsR,neutral,gunsR_neutral,n3
Participant G,Participant H,71,wyk984vb,gunsR,neutral,gunsR_neutral,n3
Participant I,Participant J,72,wyk984vb,gunsR,neutral,gunsR_neutral,n3
Participant K,Participant L,73,wyk984vb,gunsR,neutral,gunsR_neutral,n3
Participant A,Participant B,74,wyk984vb,gunsR,neutral,gunsR_neutral,n3
Participant L,Participant A,75,wyk984vb,gunsR,neutral,gunsR_neutral,n3
Participant B,Participant C,76,wyk984vb,gunsR,neutral,gunsR_neutral,n3
Participant C,Participant D,77,wyk984vb,gunsR,neutral,gunsR_neutral,n3
Participant G,Participant I,1,0vz6af17,guns,outrage,guns_outrage,n4
Participant K,Participant A,2,0vz6af17,guns,outrage,guns_outrage,n4
Participant J,Participant L,3,0vz6af17,guns,outrage,guns_outrage,n4
Participant F,Participant H,4,0vz6af17,guns,outrage,guns_outrage,n4
Participant H,Participant J,5,0vz6af17,guns,outrage,guns_outrage,n4
Participant C,Participant E,6,0vz6af17,guns,outrage,guns_outrage,n4
Participant B,Participant D,7,0vz6af17,guns,outrage,guns_outrage,n4
Participant I,Participant K,8,0vz6af17,guns,outrage,guns_outrage,n4
Participant L,Participant B,9,0vz6af17,guns,outrage,guns_outrage,n4
Participant E,Participant G,10,0vz6af17,guns,outrage,guns_outrage,n4
Participant A,Participant C,11,0vz6af17,guns,outrage,guns_outrage,n4
Participant H,Participant J,12,2djdfaey,gunsR,outrage,gunsR_outrage,n4
Participant B,Participant D,13,2djdfaey,gunsR,outrage,gunsR_outrage,n4
Participant K,Participant A,14,2djdfaey,gunsR,outrage,gunsR_outrage,n4
Participant I,Participant K,15,2djdfaey,gunsR,outrage,gunsR_outrage,n4
Participant F,Participant H,16,2djdfaey,gunsR,outrage,gunsR_outrage,n4
Participant E,Participant G,17,2djdfaey,gunsR,outrage,gunsR_outrage,n4
Participant G,Participant I,18,2djdfaey,gunsR,outrage,gunsR_outrage,n4
Participant C,Participant E,19,2djdfaey,gunsR,outrage,gunsR_outrage,n4
Participant L,Participant B,20,2djdfaey,gunsR,outrage,gunsR_outrage,n4
